Date,Open,High,Low,Close,Adj Close,Volume
2016-05-16,0.015444,0.015537,0.014865,0.014990,0.014990,0
2016-05-23,0.014970,0.015388,0.014882,0.015190,0.015190,0
2016-05-30,0.015128,0.015213,0.014777,0.014912,0.014912,0
2016-06-06,0.015235,0.015776,0.015162,0.015577,0.015577,0
2016-06-13,0.015373,0.015444,0.015088,0.015440,0.015440,0
2016-06-20,0.015527,0.015745,0.015196,0.015683,0.015683,0
2016-06-27,0.015361,0.015719,0.015258,0.015670,0.015670,0
2016-07-04,0.015694,0.015743,0.015434,0.015660,0.015660,0
2016-07-11,0.015601,0.015937,0.015555,0.015750,0.015750,0
2016-07-18,0.015782,0.015920,0.015414,0.015536,0.015536,0
2016-07-25,0.015418,0.015434,0.014895,0.015160,0.015160,0
2016-08-01,0.015208,0.015390,0.014927,0.015218,0.015218,0
2016-08-08,0.015302,0.015601,0.015302,0.015537,0.015537,0
2016-08-15,0.015537,0.015779,0.015470,0.015686,0.015686,0
2016-08-22,0.015686,0.015686,0.015320,0.015453,0.015453,0
2016-08-29,0.015450,0.015491,0.015164,0.015338,0.015338,0
2016-09-05,0.015338,0.015736,0.015338,0.015492,0.015492,0
2016-09-12,0.015492,0.015617,0.015260,0.015375,0.015375,0
2016-09-19,0.015375,0.015784,0.015214,0.015618,0.015618,0
2016-09-26,0.015619,0.015954,0.015563,0.015905,0.015905,0
2016-10-03,0.015905,0.016142,0.015888,0.016108,0.016108,0
2016-10-10,0.016107,0.016172,0.015746,0.015929,0.015929,0
2016-10-17,0.015929,0.016094,0.015822,0.016055,0.016055,0
2016-10-24,0.016055,0.016145,0.015571,0.015862,0.015862,0
2016-10-31,0.015862,0.015918,0.015518,0.015538,0.015538,0
2016-11-07,0.015538,0.015820,0.015135,0.015220,0.015220,0
2016-11-14,0.015214,0.015654,0.015045,0.015418,0.015418,0
2016-11-21,0.015397,0.015759,0.015353,0.015413,0.015413,0
2016-11-28,0.015413,0.015755,0.015281,0.015670,0.015670,0
2016-12-05,0.015670,0.016010,0.015618,0.016005,0.016005,0
2016-12-12,0.016005,0.016521,0.016005,0.016099,0.016099,0
2016-12-19,0.016099,0.016484,0.016099,0.016387,0.016387,0
2016-12-26,0.016387,0.016642,0.016238,0.016332,0.016332,0
2017-01-02,0.016332,0.016923,0.016248,0.016788,0.016788,0
2017-01-09,0.016788,0.016928,0.016495,0.016768,0.016768,0
2017-01-16,0.016768,0.016963,0.016603,0.016722,0.016722,0
2017-01-23,0.016726,0.016996,0.016507,0.016729,0.016729,0
2017-01-30,0.016729,0.017023,0.016580,0.016965,0.016965,0
2017-02-06,0.016974,0.017183,0.016792,0.017176,0.017176,0
2017-02-13,0.017176,0.017690,0.017097,0.017148,0.017148,0
2017-02-20,0.017148,0.017525,0.017081,0.017134,0.017134,0
2017-02-27,0.017134,0.017366,0.016954,0.017186,0.017186,0
2017-03-06,0.017186,0.017276,0.016825,0.016930,0.016930,0
2017-03-13,0.016930,0.017497,0.016783,0.017497,0.017497,0
2017-03-20,0.017423,0.017571,0.017182,0.017554,0.017554,0
2017-03-27,0.017553,0.017903,0.017489,0.017783,0.017783,0
2017-04-03,0.017785,0.017947,0.017429,0.017429,0.017429,0
2017-04-10,0.017429,0.017875,0.017382,0.017761,0.017761,0
2017-04-17,0.017776,0.017947,0.017673,0.017722,0.017722,0
2017-04-24,0.017722,0.018013,0.017468,0.017565,0.017565,0
2017-05-01,0.017571,0.017732,0.016983,0.017227,0.017227,0
2017-05-08,0.017233,0.017601,0.017100,0.017519,0.017519,0
2017-05-15,0.017516,0.017847,0.017211,0.017566,0.017566,0
2017-05-22,0.017566,0.017908,0.017546,0.017705,0.017705,0
2017-05-29,0.017705,0.017790,0.017569,0.017666,0.017666,0
2017-06-05,0.017666,0.017775,0.017512,0.017540,0.017540,0
2017-06-12,0.017545,0.017663,0.017290,0.017328,0.017328,0
2017-06-19,0.017328,0.017412,0.016571,0.016828,0.016828,0
2017-06-26,0.016828,0.017086,0.016733,0.016984,0.016984,0
2017-07-03,0.016984,0.017035,0.016502,0.016571,0.016571,0
2017-07-10,0.016570,0.016944,0.016458,0.016932,0.016932,0
2017-07-17,0.016931,0.017029,0.016825,0.016884,0.016884,0
2017-07-24,0.016884,0.016916,0.016618,0.016813,0.016813,0
2017-07-31,0.016813,0.016853,0.016444,0.016685,0.016685,0
2017-08-07,0.016685,0.016780,0.016582,0.016725,0.016725,0
2017-08-14,0.016725,0.016979,0.016643,0.016979,0.016979,0
2017-08-21,0.016979,0.017076,0.016880,0.017076,0.017076,0
2017-08-28,0.017074,0.017429,0.016983,0.017402,0.017402,0
2017-09-04,0.017402,0.017682,0.017215,0.017447,0.017447,0
2017-09-11,0.017447,0.017546,0.017255,0.017339,0.017339,0
2017-09-18,0.017339,0.017421,0.017138,0.017362,0.017362,0
2017-09-25,0.017369,0.017520,0.017078,0.017385,0.017385,0
2017-10-02,0.017444,0.017447,0.017169,0.017189,0.017189,0
2017-10-09,0.017207,0.017535,0.017098,0.017501,0.017501,0
2017-10-16,0.017473,0.017578,0.017332,0.017407,0.017407,0
2017-10-23,0.017386,0.017478,0.017029,0.017243,0.017243,0
2017-10-30,0.017187,0.017350,0.016879,0.016943,0.016943,0
2017-11-06,0.016956,0.017216,0.016792,0.016861,0.016861,0
2017-11-13,0.016885,0.016996,0.016551,0.016970,0.016970,0
2017-11-20,0.016921,0.017179,0.016799,0.017136,0.017136,0
2017-11-27,0.017131,0.017233,0.016920,0.016991,0.016991,0
2017-12-04,0.016988,0.017119,0.016848,0.016923,0.016923,0
2017-12-11,0.016925,0.017169,0.016865,0.017006,0.017006,0
2017-12-18,0.017086,0.017213,0.016996,0.017152,0.017152,0
2017-12-25,0.017153,0.017500,0.017135,0.017353,0.017353,0
2018-01-01,0.017353,0.017637,0.017306,0.017595,0.017595,0
2018-01-08,0.017554,0.017771,0.017496,0.017665,0.017665,0
2018-01-15,0.017684,0.017849,0.017566,0.017701,0.017701,0
2018-01-22,0.017669,0.017998,0.017639,0.017895,0.017895,0
2018-01-29,0.017788,0.017941,0.017693,0.017694,0.017694,0
2018-02-05,0.017726,0.017769,0.017122,0.017144,0.017144,0
2018-02-12,0.017149,0.017843,0.017146,0.017738,0.017738,0
2018-02-19,0.017716,0.017859,0.017607,0.017771,0.017771,0
2018-02-26,0.017818,0.018082,0.017435,0.017612,0.017612,0
2018-03-05,0.017580,0.017803,0.017443,0.017518,0.017518,0
2018-03-12,0.017651,0.017742,0.017306,0.017418,0.017418,0
2018-03-19,0.017404,0.017688,0.017244,0.017483,0.017483,0
2018-03-26,0.017510,0.018408,0.017299,0.017514,0.017514,0
2018-04-02,0.017445,0.017559,0.017206,0.017206,0.017206,0
2018-04-09,0.017221,0.017288,0.015399,0.016132,0.016132,0
2018-04-16,0.016132,0.016537,0.015913,0.016299,0.016299,0
2018-04-23,0.016299,0.016404,0.015888,0.016105,0.016105,0
2018-04-30,0.016050,0.016096,0.015581,0.015885,0.015885,0
2018-05-07,0.016019,0.016283,0.015645,0.016160,0.016160,0
2018-05-14,0.016190,0.016271,0.015941,0.016055,0.016055,0
2018-05-21,0.016042,0.016401,0.015958,0.016085,0.016085,0
2018-05-28,0.016089,0.016172,0.015897,0.016085,0.016085,0
2018-06-04,0.016090,0.016300,0.015898,0.016053,0.016053,0
2018-06-11,0.016034,0.016136,0.015794,0.015841,0.015841,0
2018-06-18,0.015878,0.015931,0.015584,0.015663,0.015663,0
2018-06-25,0.015883,0.016011,0.015767,0.015935,0.015935,0
2018-07-02,0.015887,0.015936,0.015756,0.015896,0.015896,0
2018-07-09,0.015897,0.016224,0.015854,0.015986,0.015986,0
2018-07-16,0.016004,0.016105,0.015690,0.015764,0.015764,0
2018-07-23,0.015782,0.015985,0.015746,0.015937,0.015937,0
2018-07-30,0.015950,0.016130,0.015740,0.015796,0.015796,0
2018-08-06,0.015797,0.015837,0.014735,0.014781,0.014781,0
2018-08-13,0.014746,0.015102,0.014455,0.014932,0.014932,0
2018-08-20,0.014915,0.015009,0.014495,0.014663,0.014663,0
2018-08-27,0.014897,0.014932,0.014629,0.014819,0.014819,0
2018-09-03,0.014802,0.014809,0.014306,0.014311,0.014311,0
2018-09-10,0.014347,0.014825,0.014164,0.014654,0.014654,0
2018-09-17,0.014705,0.015156,0.014634,0.014966,0.014966,0
2018-09-24,0.015025,0.015304,0.015024,0.015249,0.015249,0
2018-10-01,0.015248,0.015439,0.014942,0.015016,0.015016,0
2018-10-08,0.015022,0.015204,0.014913,0.015101,0.015101,0
2018-10-15,0.015161,0.015368,0.015114,0.015201,0.015201,0
2018-10-22,0.015262,0.015390,0.015172,0.015231,0.015231,0
2018-10-29,0.015200,0.015319,0.015091,0.015123,0.015123,0
2018-11-05,0.015139,0.015215,0.014675,0.014731,0.014731,0
2018-11-12,0.014743,0.015250,0.014670,0.015163,0.015163,0
2018-11-19,0.015155,0.015302,0.015066,0.015111,0.015111,0
2018-11-26,0.015036,0.015164,0.014819,0.014920,0.014920,0
2018-12-03,0.014993,0.015186,0.014889,0.014967,0.014967,0
2018-12-10,0.015053,0.015146,0.014971,0.015079,0.015079,0
2018-12-17,0.015006,0.015059,0.014519,0.014519,0.014519,0
2018-12-24,0.014544,0.014683,0.014347,0.014396,0.014396,0
2018-12-31,0.014362,0.014892,0.014331,0.014892,0.014892,0
2019-01-07,0.014892,0.015037,0.014717,0.014957,0.014957,0
2019-01-14,0.014960,0.015149,0.014864,0.015072,0.015072,0
2019-01-21,0.015105,0.015276,0.015017,0.015214,0.015214,0
2019-01-28,0.015206,0.015351,0.015065,0.015284,0.015284,0
2019-02-04,0.015282,0.015327,0.015123,0.015176,0.015176,0
2019-02-11,0.015287,0.015310,0.014895,0.015094,0.015094,0
2019-02-18,0.015100,0.015332,0.015085,0.015305,0.015305,0
2019-02-25,0.015291,0.015397,0.015154,0.015176,0.015176,0
2019-03-04,0.015192,0.015255,0.015041,0.015082,0.015082,0
2019-03-11,0.015065,0.015440,0.015065,0.015280,0.015280,0
2019-03-18,0.015433,0.015719,0.015419,0.015675,0.015675,0
2019-03-25,0.015503,0.015639,0.015214,0.015257,0.015257,0
2019-04-01,0.015248,0.015379,0.015191,0.015292,0.015292,0
2019-04-08,0.015299,0.015595,0.015284,0.015556,0.015556,0
2019-04-15,0.015551,0.015674,0.015519,0.015650,0.015650,0
2019-04-22,0.015625,0.015710,0.015394,0.015478,0.015478,0
2019-04-29,0.015471,0.015548,0.015249,0.015298,0.015298,0
2019-05-06,0.015308,0.015407,0.015265,0.015337,0.015337,0
2019-05-13,0.015353,0.015531,0.015260,0.015473,0.015473,0
2019-05-20,0.015456,0.015546,0.015406,0.015524,0.015524,0
2019-05-27,0.015519,0.015544,0.015251,0.015334,0.015334,0
2019-06-03,0.015252,0.015448,0.015239,0.015377,0.015377,0
2019-06-10,0.015425,0.015577,0.015399,0.015500,0.015500,0
2019-06-17,0.015545,0.015908,0.015535,0.015907,0.015907,0
2019-06-24,0.015858,0.016008,0.015799,0.015859,0.015859,0
2019-07-01,0.015884,0.015928,0.015664,0.015686,0.015686,0
2019-07-08,0.015693,0.015929,0.015636,0.015869,0.015869,0
2019-07-15,0.015845,0.015989,0.015840,0.015910,0.015910,0
